seed,study,n_obs,distance_from_training_centroid,mae
32,"Fan et al., 2005",3,0.05332167283950619,0.03988678566666711
32,"Luo et al., 2010",2,0.06427167283950619,0.14931087933333387
32,"Akinbomi & Taherzadeh, 2015",9,0.3415672160493828,0.41438861124162274
33,"Levin et al., 2006",2,0.0026176577181207805,0.06493904676190462
33,"Baeyens et al., 2020",2,0.1411676577181208,0.11626048059523805
33,"Azbar et al., 2009",2,0.047848657718120774,0.05685376069047648
33,"Akhbari & Ibrahim, 2022",13,0.08300388074341768,0.0895910463028083
33,"Martins et al., 2022",3,0.13659234228187922,0.27008089668109675
33,"Fan et al., 2005",3,0.07503234228187923,0.038003624730159086
33,"Mars et al., 2010",2,0.1954676577181208,0.08149999999999999
33,"Albuquerque et al., 2024",11,0.026067796827333775,0.06901644367532472
33,"Kontodimos et al., 2025",2,0.13888234228187923,0.3166676805086581
34,"Alibardi & Cossu, 2014",4,0.08538873248407644,0.08340682097619057
34,"Levin et al., 2006",2,0.003261267515923566,0.07277834659523774
34,"Gonzales et al., 2016",3,0.012688732484076426,0.03701252854208766
34,"Panagiotopoulos et al., 2010",4,0.16253626751592357,0.06106552952380903
34,"Akhbari & Ibrahim, 2022",13,0.08236027094561489,0.09449815953424359
34,"Zhang et al., 2006",2,0.004301267515923551,0.015462001071428852
34,"Luo et al., 2010",2,0.08533873248407645,0.15824985063095273
35,"Ivanova et al., 2009",6,0.12476042291666666,0.11499467511111079
35,"Gonzales et al., 2016",3,0.017838756249999976,0.043794007555555514
35,"Akhbari & Ibrahim, 2022",13,0.08751029471153844,0.08588613470407373
35,"Luo et al., 2010",2,0.09048875625,0.12362519947619077
36,"Pan et al., 2008",2,0.08239601898734177,0.06555556447619022
36,"Gonzales et al., 2016",3,0.002303981012658246,0.044867087111111176
36,"Panagiotopoulos et al., 2010",4,0.17752898101265824,0.18192014080952384
36,"Ottaviano et al., 2016",2,0.07620398101265824,0.03370000000000001
36,"Zagklis et al., 2021",2,0.012703981012658239,0.06456723323809543
36,"Zhang et al., 2006",2,0.019293981012658223,0.004928132380952105
36,"Mars et al., 2010",2,0.21110398101265826,0.2147163422857146
36,"Lee et al., 2014",3,0.0476293523206751,0.09277395624242402
36,"Albuquerque et al., 2024",11,0.010431473532796318,0.07441486580676898
37,"Collet, 2004",2,0.06762188757396448,0.16503821813492126
37,"Pan et al., 2008",2,0.09327188757396447,0.0901859959740262
37,"Azbar et al., 2009",2,0.052609112426035526,0.0784656784206351
37,"Gonzales et al., 2016",3,0.00857188757396446,0.0702275450793651
37,"Jariyaboon et al., 2023",3,0.03437188757396448,0.11322827685725444
37,"Derdiche et al., 2025",5,0.07730188757396447,0.05157089398722403
38,"Collet, 2004",2,0.0747592013422819,0.13901368864285735
38,"Cárdenas et al., 2018",16,0.1401529513422819,0.0652458652142858
38,"Zagklis et al., 2021",2,0.005309201342281883,0.08493204594336239
38,"Valdezvazquez et al., 2004",2,0.11409079865771812,0.15978897978571416
38,"Ghimire et al., 2015",11,0.004946474069554618,0.06194171817720661
38,"Trad et al., 2015",2,0.011509201342281894,0.05481654530158725
38,"Lee et al., 2014",3,0.06564253467561522,0.03784799466666605
39,"Gonzales et al., 2016",3,0.006579236686390516,0.04740028007936516
39,"Liu et al., 2015",2,0.07827923668639053,0.0535
39,"Ottaviano et al., 2016",2,0.06732076331360948,0.061139459142857094
39,"Fan et al., 2005",3,0.06827923668639053,0.0280795471746032
39,"Mars et al., 2010",2,0.2022207633136095,0.08149999999999999
39,"Derdiche et al., 2025",5,0.07530923668639053,0.04277705325815314
