model,protocol,augmented,seed,r2,rmse,mae,n_test,n_test_studies,ladder
CatBoost,study_grouped,0,9,0.07290769359006277,0.1133945537059834,0.08218964044899431,46,16,study_grouped
CatBoost,study_grouped,0,10,-0.2386113821879967,0.10445234647972258,0.07549930111509334,55,16,study_grouped
CatBoost,study_grouped,0,11,-0.28872295483198274,0.10252260685546553,0.07817043436287989,28,16,study_grouped
CatBoost,study_grouped,0,12,-0.2833525001510764,0.11234258877386841,0.07990039301938735,56,16,study_grouped
CatBoost,study_grouped,0,13,-0.8581716668398902,0.14970828768342562,0.12962044449777907,29,16,study_grouped
CatBoost,study_grouped,0,14,-0.10772714893884938,0.11033176000325888,0.08693731425807526,41,16,study_grouped
CatBoost,study_grouped,0,15,0.00012704221729809007,0.10432387478263423,0.08259441353822379,37,16,study_grouped
CatBoost,study_grouped,0,16,-0.21497348396494487,0.0897674801209459,0.06911935210237183,36,16,study_grouped
CatBoost,study_grouped,0,17,-2.08871270907862,0.11020759355607644,0.09193031781989246,27,16,study_grouped
CatBoost,study_grouped,0,18,-0.7866259781664817,0.24296661156097804,0.18565523045022964,31,16,study_grouped
CatBoost,study_grouped,0,19,-1.3357714914622587,0.14508168106719962,0.1140376086831961,30,16,study_grouped
CatBoost,study_grouped,0,20,-0.14344518437497644,0.09943402581135827,0.08043662894403668,47,16,study_grouped
CatBoost,study_grouped,0,21,0.23799053750256727,0.07402484449423255,0.059735424477561486,53,16,study_grouped
CatBoost,study_grouped,0,22,0.053371391383430944,0.12219176101054624,0.09688045962450748,29,16,study_grouped
CatBoost,study_grouped,0,23,0.4569789517108964,0.08181237149958487,0.06400318615250303,39,16,study_grouped
CatBoost,study_grouped,0,24,-1.052765863053462,0.1506115896003544,0.12309913285465149,20,16,study_grouped
CatBoost,study_grouped,0,25,-0.6630082797393031,0.14496140957396617,0.11226936890142351,36,16,study_grouped
CatBoost,study_grouped,0,26,0.1153815783519353,0.09351027807840694,0.07469477095732943,33,16,study_grouped
CatBoost,study_grouped,0,27,-0.17070071846861623,0.11851681164431958,0.1025918124004975,21,16,study_grouped
CatBoost,study_grouped,0,28,-0.007776216403086567,0.0736461293126936,0.058702561181977864,48,16,study_grouped
CatBoost,study_grouped,0,29,-0.23022451257614618,0.12472579237142599,0.09321021622700676,26,16,study_grouped
CatBoost,study_grouped,0,30,-0.9521638847488181,0.2476442026554184,0.19057874095267588,37,16,study_grouped
CatBoost,study_grouped,0,31,-0.1295019972513778,0.10563012908515855,0.07960937877933884,67,16,study_grouped
CatBoost,study_grouped,0,32,-0.7169990410356533,0.2519143249001644,0.18980395319193707,34,16,study_grouped
CatBoost,study_grouped,0,33,-0.3211431752118401,0.12339712251530562,0.08990209097801764,47,16,study_grouped
CatBoost,study_grouped,0,34,0.06126551018627602,0.10325666351724101,0.08698860127805948,39,16,study_grouped
CatBoost,study_grouped,0,35,-0.2227988526928899,0.10158360705201123,0.08266841907098171,36,16,study_grouped
CatBoost,study_grouped,0,36,-0.47118583478037857,0.13402654817273832,0.10305015311091056,38,16,study_grouped
CatBoost,study_grouped,0,37,-0.7310414062457655,0.1198869991432692,0.10242581290350088,27,16,study_grouped
CatBoost,study_grouped,0,38,0.144850871203008,0.10524968388977421,0.07387642052034743,47,16,study_grouped
CatBoost,study_grouped,0,39,0.3940146332837894,0.09036959579406686,0.06525079227523818,27,16,study_grouped
Ridge,study_grouped,0,0,0.02802312564400722,0.1038282518019503,0.09012029140070546,32,16,study_grouped
Ridge,study_grouped,0,1,-0.29718698072238436,0.11680251601877231,0.1024400179719962,30,16,study_grouped
Ridge,study_grouped,0,2,0.37759973230788335,0.07728103963561349,0.05861257636766483,20,16,study_grouped
Ridge,study_grouped,0,3,-0.3426587872908773,0.13581560805158435,0.11049619654083662,21,16,study_grouped
Ridge,study_grouped,0,4,-0.612926201186033,0.11021302490791592,0.08117331363353039,44,16,study_grouped
Ridge,study_grouped,0,5,-0.8531687590894621,0.11026300678542986,0.07204273673163748,39,16,study_grouped
Ridge,study_grouped,0,6,0.015761476274108954,0.11390943670990014,0.0832044395004564,48,16,study_grouped
Ridge,study_grouped,0,7,0.11140499342741705,0.1074374296621119,0.07500680118523342,49,16,study_grouped
Ridge,study_grouped,0,8,-0.551323026534801,0.21826777621894042,0.1555193470816092,39,16,study_grouped
Ridge,study_grouped,0,9,-0.12609839348887752,0.1249737717002672,0.09808067606716564,46,16,study_grouped
Ridge,study_grouped,0,10,-0.8318680359106125,0.1270275025797569,0.09593297299349487,55,16,study_grouped
Ridge,study_grouped,0,11,-0.09993310698754176,0.09471592292225205,0.06997034265901529,28,16,study_grouped
Ridge,study_grouped,0,12,-0.13680692778669323,0.1057340341826176,0.0657552248959317,56,16,study_grouped
Ridge,study_grouped,0,13,-0.8776679639710612,0.15049162249926543,0.12978830930776306,29,16,study_grouped
Ridge,study_grouped,0,14,-0.26646025926176553,0.11797226817031693,0.0966186366738611,41,16,study_grouped
Ridge,study_grouped,0,15,-0.1329108981259941,0.11104759954602524,0.09092890818210936,37,16,study_grouped
Ridge,study_grouped,0,16,-1.428524809739645,0.1269132327238981,0.10197529462301147,36,16,study_grouped
Ridge,study_grouped,0,17,-5.892307361034684,0.1646285223540447,0.13236553414562507,27,16,study_grouped
Ridge,study_grouped,0,18,-0.5442928522286887,0.22588875169053446,0.1649729917181134,31,16,study_grouped
Ridge,study_grouped,0,19,-1.796096982203927,0.15873530023812057,0.12902894587876507,30,16,study_grouped
