resample,study,n,study_mean,dist_from_train_mean,mae
17,"Trad et al., 2015",3,0.11396666666666666,0.04484248717948719,0.06657184522222237
17,"Chen et al., 2012",1,0.0248,0.13400915384615386,0.21960364172979818
17,"Wang & Wan, 2008",1,0.219,0.06019084615384615,0.07281448333333365
18,"Akinbomi & Taherzadeh, 2015",9,0.46588888888888896,0.32339479095074464,0.4121813223412698
18,"Collet, 2004",2,0.07365,0.06884409793814433,0.21675631666666673
18,"Kumar & Das, 2000b",1,0.2737,0.13120590206185567,0.07127086666666613
18,"Kotsopoulos et al., 2006",1,0.3073,0.1648059020618557,0.12066888500000031
18,"Lee et al., 2014",3,0.08276666666666667,0.05972743127147766,0.04928574749999983
18,"Mars et al., 2010",2,0.3415,0.1990059020618557,0.09685071874999915
18,"Kontodimos et al., 2025",2,0.00715,0.13534409793814434,0.06311902160714297
18,"Liu et al., 2009",1,0.0249,0.11759409793814432,0.2261707499999999
18,"Alzate-Gaviria et al., 2007",1,0.099,0.04349409793814432,0.00295278479166651
18,"Jain et al., 2022",1,0.3732,0.23070590206185565,0.20078933333333232
18,"Massanet-Nicolau et al., 2009",1,0.027,0.11549409793814433,0.06587749208333334
18,"Pendyala et al., 2012",1,0.056,0.08649409793814433,0.05148574999999935
18,"Nathao et al., 2013",1,0.057,0.08549409793814433,0.03155362735714289
18,"Bundhoo et al., 2015",1,0.2239,0.08140590206185566,0.05148933333333233
18,"Kim, 2004",1,0.1229,0.01959409793814433,0.02562977196428555
18,"Zahedi et al., 2012",1,0.052,0.09049409793814434,0.18514093666666617
18,"Wang & Wan, 2008",1,0.219,0.07650590206185567,0.15820099999999993
19,"Liu et al., 2015",2,0.061,0.08775846820809252,0.20371099471590937
19,"Sun et al., 2014",1,0.2737,0.12494153179190748,0.04400163494047574
19,"Kontodimos et al., 2025",2,0.00715,0.14160846820809253,0.28582831470851017
19,"Liu et al., 2009",1,0.0249,0.12385846820809251,0.21129581367736397
19,"Tang et al., 2008",1,0.319,0.17024153179190749,0.21350310332341288
19,"Lin & Chang, 2003",1,0.2115,0.06274153179190747,0.01988584897186163
19,"Derdiche et al., 2025",5,0.06497,0.08378846820809252,0.06400385122925681
19,"Albuquerque et al., 2024",11,0.11996454545454545,0.02879392275354707,0.04004448483044738
19,"Pan et al., 2008",2,0.048,0.10075846820809252,0.06346519422619039
19,"Levin et al., 2006",2,0.14865,0.0001084682080925159,0.07414487581730732
19,"Lee et al., 2009",1,0.148,0.0007584682080925276,0.12444080000000038
19,"Han et al., 2014",1,0.2167,0.06794153179190748,0.019603834285714383
19,"Zhang et al., 2006",2,0.14969,0.0009315317919074695,0.04603806930670038
19,"Baeyens et al., 2020",2,0.2872,0.1384415317919075,0.09831387951479101
19,"Chen et al., 2012",1,0.0248,0.12395846820809252,0.1521694398412697
19,"Wang & Wan, 2008",1,0.219,0.07024153179190748,0.1246427687500003
19,"Okonkwo, 2019",15,0.30300000000000005,0.15424153179190753,0.10607851973672147
20,"Akinbomi & Taherzadeh, 2015",9,0.46588888888888896,0.3328122999318337,0.4278542420767194
20,"Muri et al., 2016",1,0.36,0.22692341104294475,0.2811415695000001
20,"Chang et al., 2010",1,0.2264,0.09332341104294475,0.013127483333333273
20,"Akhbari & Ibrahim, 2022",11,0.05910636363636364,0.0739702253206916,0.07142811045815296
20,"Azbar et al., 2009",3,0.19799033333333335,0.06491374437627812,0.06569146940806886
20,"Liu et al., 2009",1,0.0249,0.10817658895705523,0.1794051916666665
